Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.07626382	0.2719134	0.4322574	-0.44042176	8.533334	29.727354	150.0	0.0	1000.0	256.0	0.008533333333333334	0.4013289	0.25544304	1.427326	-0.4975	-0.94480664	0.22050068	0.83122253	-1.8569957	-2.5431315e-09	0.0166161	3.2552084e-08	0.0018814657	0.212442	-0.19829477	30.01013	-15.133666	0	0	1.0	1.837877	0.024560412	30000	330.190110206604
1	0.017105717	0.26076543	0.45325783	-0.46206352	6.5	24.56929	111.0	0.0	1000.0	451.0	0.007516666666666666	0.07349234	0.060391795	0.36712268	-0.27106732	0.073830135	2.2871497	11.150246	-8.191794	7.3750814e-09	0.08184028	1.525879e-08	0.0051677744	0.00758583	-0.00621684	19.456335	-14.233719	0	0	1.0	1.8376672	0.12117478	60000	636.2708783149719
2	0.02742057	0.2656469	0.45595056	-0.49415794	15.433333	43.37256	203.0	0.0	1000.0	914.0	0.010155555555555555	0.0028590688	0.046187773	0.23119387	-0.2418132	0.371601	1.2667587	16.78971	-8.278131	-8.138021e-09	-0.008497743	-1.6276042e-08	-0.0009243001	0.002221068	-0.00091911654	59.7561	-32.265076	0	0	79.0	1.8384194	0.0053653545	90000	1217.006404876709
3	0.05302387	0.29668975	0.46438304	-0.5970204	15.4	37.423344	156.0	0.0	1000.0	1376.0	0.011466666666666667	0.005318911	0.058055013	0.22272582	-0.28622758	1.6533815	4.1237483	29.018072	-9.467741	1.0172526e-09	-0.0014200226	-4.0690104e-08	-0.0029646077	0.0013840386	-0.00059492694	67.43193	-26.957253	0	0	5.0	1.8195791	0.003021217	120000	1511.7581028938293
4	0.0077056987	0.29960662	0.43825722	-0.44980666	14.233334	46.25558	246.0	0.0	1000.0	1803.0	0.01202	0.010698717	0.04739014	0.19646178	-0.18748125	1.183966	1.6371677	20.782625	-9.856413	-9.155274e-09	0.0022536651	3.2552084e-08	0.0020777017	0.0014271494	-0.0006751103	47.992153	-30.317432	0	0	1.0	1.8170642	0.008905935	150000	1810.9683866500854
5	-0.053778525	0.2239111	0.3143623	-0.43960318	14.7	33.86163	128.0	0.0	1000.0	2244.0	0.012466666666666666	-0.003429798	0.047109686	0.17289765	-0.18524824	1.4003006	3.3858905	20.858406	-13.202272	2.0345052e-09	-0.0006568349	3.6621095e-08	0.00018054605	0.0009745125	-0.000355953	45.87856	-35.475792	0	0	1.0	1.8161069	0.00046061585	180000	2107.0418004989624
6	-0.024072226	0.2673709	0.38492662	-0.4198292	1.4333333	6.691703	37.0	0.0	1000.0	2287.0	0.01089047619047619	-0.0074707167	0.046745278	0.19543925	-0.20767555	0.98058814	2.6809435	24.302984	-9.054136	-6.1035155e-09	-0.00079755654	6.1035155e-09	0.00026768594	0.0009353503	-0.00031458907	9.213352	-6.8750777	0	0	1.0	1.8153541	0.0016147995	210000	2414.343057870865
7	0.039155364	0.28907695	0.43979874	-0.43837526	10.3	39.029175	208.0	0.0	1000.0	2596.0	0.010816666666666667	-0.0043656523	0.03822148	0.16230938	-0.24349903	0.2226869	0.2547355	2.5681133	-4.696314	-4.0690105e-09	-0.00045608927	-8.138021e-09	-0.0005397827	0.0010161665	-0.0004041575	39.343655	-11.563288	0	0	1.0	1.8149978	0.0012511571	240000	2704.253951072693
8	-0.0075336187	0.28354287	0.56325006	-0.53032357	12.966666	64.82308	361.0	0.0	1000.0	2985.0	0.011055555555555556	0.0005838198	0.0496062	0.14856988	-0.1901143	0.8606323	1.2785146	9.861826	-4.148082	1.2207031e-08	-0.007956475	2.1158854e-07	0.0022454753	0.0010180065	-0.0003892269	73.80395	-51.24237	0	0	79.0	1.8148375	0.0039878287	270000	3029.053561925888
9	-0.12957889	0.21131879	0.36321253	-0.5395232	7.266667	33.231445	183.0	0.0	1000.0	3203.0	0.010676666666666666	-0.010119837	0.04130148	0.16172114	-0.1777784	0.42283013	1.1598613	22.916815	-14.777379	-8.138021e-09	-0.009223282	-1.6276042e-08	4.1137697e-05	0.0009477437	-0.00033482356	35.170883	-28.7967	0	0	79.0	1.7907472	0.0043447367	300000	3347.412883043289
10	-0.15363201	0.26201326	0.44204703	-0.47427627	7.6666665	23.796825	109.0	0.0	1000.0	3433.0	0.010403030303030303	-0.01215049	0.043903608	0.20733108	-0.2162045	0.37601185	0.70714974	12.766277	-5.3945484	-1.6276042e-08	-0.009937339	-3.2552084e-08	-0.00022179361	0.00074136176	-0.00023670524	19.591745	-15.7233925	0	0	79.0	1.7758312	0.0046697035	330000	3660.617198944092
11	0.10124976	0.27869874	0.5739105	-0.43415532	18.2	64.57368	314.0	0.0	1000.0	3979.0	0.011052777777777778	0.0020593773	0.040115643	0.22197989	-0.13705873	0.78416646	2.491765	26.07909	-4.375639	-8.138021e-09	-0.009613855	-4.0690105e-09	0.0040747765	0.0012593725	-0.0006085448	79.00095	-72.15937	0	0	79.0	1.7527794	0.00492429	360000	4005.934199810028
12	0.028043386	0.36508545	1.4377491	-0.43098083	2.6333334	12.776237	71.0	0.0	1000.0	4058.0	0.010405128205128206	0.0010596331	0.041846186	0.19189131	-0.14033876	1.2349449	4.6181884	35.767403	-4.101426	2.0345052e-09	-0.0052460684	-4.0690104e-08	0.00269222	0.0022218812	-0.0008547669	25.172487	-20.326206	0	0	79.0	1.7357503	0.008313488	390000	4335.74250125885
13	0.14117463	0.26374367	0.50477743	-0.36626324	12.8	46.391376	255.0	0.0	1000.0	4442.0	0.010576190476190477	0.02140134	0.05778603	0.30100754	-0.14341599	0.38752076	0.44199723	3.0231516	-2.4045715	-4.0690105e-09	0.026005488	3.2552084e-08	-0.0068416097	0.0016606267	-0.0011229427	59.938267	-24.11901	0	0	4.0	1.7199318	0.038170803	420000	4626.840630054474
14	-0.022434276	0.28979856	0.5116741	-0.54414046	12.7	39.202168	181.0	0.0	1000.0	4823.0	0.010717777777777777	0.005670294	0.04008039	0.1471888	-0.12642318	1.223712	3.5205405	50.583256	-26.284153	1.2207031e-08	0.036917314	6.103516e-08	0.003096753	0.0007779206	-0.00031897743	55.87889	-15.035454	0	0	1.0	1.7196568	0.05281486	450000	4918.922437429428
15	0.03784832	0.4259092	1.7370265	-0.39859256	9.0	27.053034	96.0	0.0	1000.0	5093.0	0.010610416666666667	-0.0034600005	0.04571636	0.14648032	-0.14786178	1.423958	0.001468162	1.424367	1.311001	-1.1189779e-08	0.061297044	-4.8828124e-08	0.012355269	0.002495075	-0.00072146836	26.895906	-0.15154457	0	0	1.0	1.7196091	0.17925468	480000	5210.320247173309
16	0.09767195	0.18569562	0.36821333	-0.31159827	0.0	0.0	0.0	0.0	1000.0	5093.0	0.009986274509803921	0.0187473	0.054306824	0.195154	-0.13419163	1.0386932	0.0013541473	1.0389495	0.883259	-2.0345052e-08	0.00312748	-5.888939e-09	5.718325e-05	0.0018165098	-0.0014632869	0.9184198	-0.87579495	0	0	21.0	1.7199073	0.016163789	510000	5510.014781236649
17	0.043704532	0.20480238	0.3595785	-0.29704803	0.0	0.0	0.0	0.0	1000.0	5093.0	0.009431481481481482	0.0036151423	0.026701849	0.09821645	-0.08739022	0.11020993	0.00049971713	0.11039975	0.06605101	-2.0345052e-08	0.030688977	4.4902165e-10	1.9991119e-06	0.0007072407	-0.00037185478	0.010340908	-0.009860685	0	0	1.0	1.709768	0.04193632	540000	5798.033860683441
18	-0.024572246	0.21157655	0.40513706	-0.34596854	0.0	0.0	0.0	0.0	1000.0	5093.0	0.008935087719298246	0.0049581635	0.030754281	0.092314065	-0.09406976	0.010595	0.00041386226	0.020210445	-0.042711347	-5.086263e-09	-0.00027681884	2.6735167e-10	2.8003255e-08	0.000636816	-0.00036803653	9.567049e-05	-9.107224e-05	0	0	1.0	1.7085892	0.0019464274	570000	6079.959195613861
19	0.010389115	0.16873816	0.3684843	-0.32348204	0.6666667	3.5901105	20.0	0.0	1000.0	5113.0	0.008521666666666667	-0.0056853965	0.031048356	0.119376116	-0.12542172	0.00089101173	0.0006616754	0.0010900497	-0.07926327	4.8828124e-08	0.0006698649	3.5603842e-09	-0.0002688965	0.0007020172	-0.00046029544	0.4414898	-0.004333675	0	0	1.0	1.7078432	0.006454382	600000	6361.5635595321655
20	0.04547052	0.15581472	0.36749977	-0.28476846	0.0	0.0	0.0	0.0	1000.0	5113.0	0.008115873015873016	0.004630609	0.019495139	0.085101955	-0.092622764	0.06773228	0.0011224383	0.06793633	-0.09400022	-1.2207031e-08	-0.0011903564	-9.929141e-10	1.1478276e-06	0.00043919365	-0.00024538732	0.003906733	-0.0037236977	0	0	1.0	1.7075367	0.0035892436	630000	6642.022209405899
21	0.091201134	0.18901704	0.4317818	-0.26115373	0.0	0.0	0.0	0.0	1000.0	5113.0	0.007746969696969697	0.0077317096	0.02306101	0.11887921	-0.090465486	0.006049114	0.0006813959	0.006254971	-0.036568373	-1.2207031e-08	-0.0004338786	1.1771917e-10	1.684323e-07	0.0005750655	-0.000327197	3.1611387e-05	-2.9657529e-05	0	0	1.0	1.7074747	0.0017340404	660000	6931.944092035294
