Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-19.183361	12.685957	7.3066983	-32.43649	-198.01303	130.81912	8.504767	-298.4327	1000.0	1000.0	9999	2.3655071	1.8669987	10.184354	-1.3622892	-2.5490594	0.0126821995	236.01389241218567
2	-54.556435	148.8357	242.12682	-298.8317	0.45976162	1.3757242	4.541159	-0.46692783	1000.0	1000.0	19999	9.854208	4.1064987	140.19807	2.9838426	-10.122814	0.26956198	488.52554273605347
3	-0.055904627	0.21929026	0.42065403	-0.39428028	-0.4161952	1.4629903	2.0286915	-2.231423	1000.0	1000.0	29999	23.454384	12.891837	157.5764	6.4645805	-24.290503	0.6412246	739.9862134456635
4	0.41720748	1.1182091	2.2298539	-1.2443008	0.09908175	0.24049659	0.80478436	-0.0071787215	1000.0	1000.0	39999	64.25142	19.99474	385.6458	13.762225	-65.65945	1.7981297	992.471586227417
5	9.779587	32.757683	107.81606	-4.684232	0.22242522	0.8839814	2.0862696	-1.0996305	1000.0	1000.0	49999	92.9926	24.543116	515.5403	32.414528	-94.467674	4.306096	1246.669546842575
6	10.646292	32.79121	108.98027	-1.8288598	0.3132615	1.271514	3.8135955	-0.9031859	1000.0	1000.0	59999	129.4113	28.11533	417.85342	66.70836	-131.44032	3.4710605	1509.6345703601837
7	0.5068468	0.92414427	3.0859175	-0.09594765	-0.19199449	0.6557787	0.15333071	-2.153828	1000.0	1000.0	69999	169.38249	31.255344	370.78552	96.95117	-171.60124	3.313287	1764.3485987186432
8	10.657183	32.49118	108.11736	-1.695687	-0.10783442	1.0771261	1.8518509	-2.8785555	1000.0	1000.0	79999	185.55414	22.164454	384.2355	124.80081	-187.30043	2.7527509	2017.2184388637543
9	-0.09381907	1.3635453	1.8176414	-2.2158208	-0.004350662	0.64888245	1.3754287	-1.2905002	1000.0	1000.0	89999	181.30797	26.843784	400.18564	122.88476	-183.21317	3.0702493	2271.156218290329
10	-0.8004597	2.7179365	1.7776006	-7.6518006	10.327438	32.04583	106.45407	-1.4461919	1000.0	1000.0	99999	183.33235	26.637629	385.7922	84.82131	-185.17505	3.2079368	2524.8691370487213
11	-0.72583807	0.9562601	0.0019520015	-2.7436478	-0.06702395	1.2891235	2.490282	-1.6494789	1000.0	1000.0	109999	186.41823	28.614986	388.12564	77.04025	-188.26138	3.1011183	2778.5299801826477
12	11.199426	32.53163	108.73791	-1.9424481	0.0070588277	0.10902589	0.16105218	-0.19153208	1000.0	1000.0	119999	191.30844	25.473932	377.34512	112.523796	-193.40277	2.2639701	3031.863871574402
13	-0.12075057	1.3447605	2.9396281	-2.6649537	-0.0064777373	0.7514701	1.3159081	-1.2924181	1000.0	1000.0	129999	182.82668	20.245968	336.47906	113.65977	-184.24506	1.8211473	3285.2709686756134
14	0.4061579	1.6302083	3.4925394	-2.9144995	-0.8758653	2.2698116	2.9129903	-3.4935322	1000.0	1000.0	139999	165.67105	17.388638	293.69116	100.969475	-166.87701	1.428464	3538.415453195572
15	-0.17240429	1.5457933	1.9503639	-3.3304763	0.14351958	0.8662407	2.178462	-1.2414552	1000.0	1000.0	149999	139.00267	17.549707	279.19995	71.99292	-139.9406	1.148888	3791.8276233673096
16	-0.14321753	0.8690296	1.8388431	-1.9318358	-0.1610914	0.87403965	0.93403476	-2.0430746	1000.0	1000.0	159999	126.51746	17.344336	254.42638	78.302315	-127.64265	1.1704664	4045.0880069732666
17	0.19359152	0.7637986	2.1089413	-0.88420194	7.149994	31.684792	99.7672	-18.913582	1000.0	1000.0	169999	112.25795	16.899109	251.55502	53.39049	-112.964	1.0608368	4298.353008985519
18	21.223442	43.321815	108.3517	-2.8003623	10.278882	31.26996	104.02833	-3.0605872	1000.0	1000.0	179999	97.535805	13.772747	218.91417	53.939816	-98.40799	0.97086847	4551.709060430527
19	-1.2069199	4.0842624	1.0672435	-13.247823	22.049397	46.964855	118.38412	-7.944261	1000.0	1000.0	189999	90.35388	13.794846	215.76668	47.394703	-90.968216	0.8622906	4806.18961930275
20	19.47433	43.27296	106.87449	-9.627886	0.34475216	2.8472402	7.9122944	-3.2876	1000.0	1000.0	199999	76.80023	14.741936	199.8726	39.86622	-77.53967	0.9013519	5059.703273296356
21	0.20496094	0.9292074	2.1722379	-1.7059673	0.060162686	0.47315833	0.8407377	-0.77295667	1000.0	1000.0	209999	96.85106	17.861238	238.82115	41.847927	-98.23157	1.1781613	5314.503723621368
22	10.7372265	31.045145	103.78602	-0.78739727	10.737469	32.365974	107.82932	-0.59913987	1000.0	1000.0	219999	91.76203	12.017518	221.75497	48.194107	-92.42145	0.78838164	5568.080608129501
23	0.11566423	0.64807606	1.7496424	-0.42504936	0.016041879	0.56927526	1.0917044	-0.5731047	1000.0	1000.0	229999	94.47728	15.499409	221.29913	47.8061	-95.75225	0.94588846	5821.230189561844
24	10.089275	31.112434	103.28816	-2.7941318	11.160509	30.97239	103.94223	-0.58293414	1000.0	1000.0	239999	104.359215	14.339333	238.618	46.0991	-105.50926	1.0113153	6074.691654682159
25	10.138454	30.279385	100.97448	-0.11234572	10.74792	31.826809	106.22466	-0.21887183	1000.0	1000.0	249999	117.95669	16.193106	265.73477	65.542366	-119.558334	1.4000756	6328.207051753998
26	20.791153	66.99221	221.29572	-15.114028	-0.22203045	2.1223977	1.848988	-4.189152	1000.0	1000.0	259999	126.896286	13.684348	256.3076	70.881355	-127.91118	1.214459	6581.211717844009
27	10.489058	31.690681	105.201065	-4.3058066	22.50406	41.51894	106.53692	-0.5565641	1000.0	1000.0	269999	100.92274	14.381094	245.75374	47.38845	-101.38725	0.9677868	6835.064427852631
28	-4.1369333	11.34293	0.19417325	-38.13819	-0.07720678	0.7625197	1.1519367	-1.212704	1000.0	1000.0	279999	92.83658	16.797104	260.8177	40.219345	-93.88344	1.3899351	7088.337042331696
29	9.926793	31.184828	103.36608	-2.7123497	22.003384	42.66132	107.790184	-1.5627393	1000.0	1000.0	289999	94.026665	16.631691	278.01172	36.960228	-95.03536	1.4547994	7344.685331106186
30	0.92322445	1.8281645	4.7566657	-1.0124085	0.3192252	1.0710219	1.6048826	-1.2896054	1000.0	1000.0	299999	112.51984	22.350058	252.71439	25.136066	-114.173615	2.1500075	7600.913026809692
31	10.722036	32.145374	107.10131	-1.4560955	20.6851	41.46427	103.6565	-1.0848554	1000.0	1000.0	309999	131.82019	21.25229	284.0017	59.31612	-133.63318	2.1123922	7859.456683635712
32	0.55178934	0.96054053	2.464531	-0.40237615	-0.44765177	2.0553818	2.6138852	-3.3539152	1000.0	1000.0	319999	165.05766	24.40264	319.0959	79.69981	-167.0211	3.5245314	8113.145327091217
33	-16.282482	28.366749	3.65325	-85.27545	2.6337082	2.5751035	7.202025	-0.95213264	1000.0	1000.0	329999	140.61893	23.745193	303.88568	69.568085	-141.08894	2.6209853	8368.378530025482
34	20.633827	43.23998	106.96445	-13.6658945	-0.07971368	0.6483094	1.0940694	-0.85957503	1000.0	1000.0	339999	106.47145	17.350796	276.3888	37.809822	-107.20722	1.9059297	8622.769423007965
35	20.505823	42.49047	107.3855	-3.9437184	-4.4016814	7.942646	13.590654	-18.113802	1000.0	1000.0	349999	103.269905	13.538291	250.31317	42.884075	-104.322525	1.313855	8876.129567623138
36	-6.3744755	11.232261	0.094786786	-39.201977	10.699493	32.066128	106.89677	-0.22740343	1000.0	1000.0	359999	91.97287	15.190863	264.22128	45.71974	-92.46085	1.2319217	9129.06960606575
37	-8.851311	8.62577	5.438955	-18.90017	10.845259	31.359716	104.70846	-2.676751	1000.0	1000.0	369999	73.11084	14.117223	218.98145	31.213814	-73.56535	1.2764146	9382.353800535202
38	18.56431	38.019672	110.48033	-3.2916799	20.82316	44.265186	110.091805	-2.660123	1000.0	1000.0	379999	62.993416	14.385765	187.30547	10.468662	-63.527363	1.1426599	9635.313225030899
39	10.354914	33.352913	110.31825	-3.687961	20.688808	43.186977	108.982155	-4.5921493	1000.0	1000.0	389999	63.360943	18.677364	215.80983	10.047131	-64.2262	1.3975453	9888.588562965393
40	0.33264756	2.5899491	6.3837276	-2.5697093	11.067942	32.40498	108.2736	-0.6429133	1000.0	1000.0	399999	80.44001	18.081024	234.03221	25.683762	-81.55849	1.4612718	10141.576058626175
41	0.84328395	1.6083871	3.8233318	-1.2013465	31.641678	49.17045	108.142624	-1.5266159	1000.0	1000.0	409999	98.0297	27.821724	230.09547	-7.442747	-99.5834	3.3226395	10395.342663764954
42	0.11685147	1.8167435	3.946995	-2.3200982	0.33306637	1.8107965	5.0781927	-1.5265341	1000.0	1000.0	419999	128.06787	23.870522	297.8347	14.8404045	-129.39	4.160947	10649.11674618721
43	0.005003041	0.27165046	0.53243685	-0.43159455	0.030144006	0.35742965	0.43147698	-0.6419247	1000.0	1000.0	429999	111.13648	20.22083	290.69724	17.617807	-111.857	2.831875	10902.271831035614
44	-0.16260186	0.36301902	0.35818446	-0.70393157	-0.05366618	0.2671407	0.23903699	-0.6940248	1000.0	1000.0	439999	102.73858	36.399868	254.26366	-37.271763	-103.73467	4.2131467	11155.246433258057
45	-4.698989	14.254898	0.46959445	-47.45902	-11.425615	58.302834	111.79811	-128.74855	1000.0	1000.0	449999	143.96101	53.026234	413.71097	-66.48834	-146.42435	10.627923	11408.714495658875
46	-6.983545	75.71134	94.67633	-205.58107	10.322409	31.3863	104.41953	-2.6485302	1000.0	1000.0	459999	141.51454	33.552364	385.74057	-23.551954	-142.22289	10.117623	11663.278807163239
47	28.375223	61.525345	185.32388	-7.41098	-108.85004	103.23648	-1.8102244	-265.38638	1000.0	1000.0	469999	111.81205	29.632448	312.3818	21.985186	-112.431175	5.2616744	11920.27859044075
48	-50.23559	93.998215	100.26951	-212.8103	-98.50648	101.93456	109.96249	-203.5331	1000.0	1000.0	479999	93.72398	20.70707	254.00723	15.379712	-94.39296	3.2493913	12178.044003009796
49	-29.120167	115.50246	213.49794	-243.07072	-182.11966	109.389046	8.827747	-291.80222	1000.0	1000.0	489999	67.86523	13.037749	240.35933	25.380781	-68.05149	1.378078	12442.108884572983
50	-95.237625	114.236115	106.40499	-284.28195	10.964486	32.012962	106.885	-2.7525654	1000.0	1000.0	499999	46.08551	12.302196	198.34822	11.318148	-46.133766	1.0800854	12699.461291074753
51	6.077509	21.646832	70.519966	-8.052315	-23.16451	74.0201	108.444824	-106.00367	1000.0	1000.0	509999	30.886618	9.672538	161.64162	2.177986	-31.031866	0.79081625	12955.592070579529
52	-36.951805	101.80121	120.58704	-274.97903	10.9336605	31.93365	106.56147	-1.9392818	1000.0	1000.0	519999	24.488659	9.683088	160.2877	2.6607075	-24.660074	0.8876292	13212.566064119339
53	0.4322421	3.703534	7.2625346	-3.585295	-5.3526053	8.155059	4.759292	-18.471836	1000.0	1000.0	529999	31.876661	18.253216	160.41	-15.235418	-32.58924	1.9903219	13468.017074108124
54	1.5321376	7.2669926	14.9378805	-13.93696	-1.0934576	3.3339686	5.0586	-4.3962827	1000.0	1000.0	539999	50.427937	13.873462	185.9737	1.2053792	-50.984165	2.0322943	13722.68917965889
55	22.006207	64.49996	215.23282	-4.1934524	11.406069	32.76312	109.52759	-2.7992373	1000.0	1000.0	549999	35.98243	11.950377	185.27045	2.866578	-36.09322	1.8216586	13977.541704893112
56	-29.394123	74.523224	4.798277	-250.02399	0.35201237	1.601692	2.8280256	-2.0658686	1000.0	1000.0	559999	28.43192	8.832796	186.27705	6.0114875	-28.506119	1.074072	14231.947681188583
57	10.155409	31.678644	105.15686	-1.966213	12.082927	32.327625	108.51826	-3.9660478	1000.0	1000.0	569999	22.702007	11.014788	167.00485	-34.895676	-22.89492	1.5893655	14486.452382087708
58	20.294046	40.670353	113.13933	-2.768486	53.750774	98.80093	321.6767	-1.5831293	1000.0	1000.0	579999	15.92254	9.420275	165.48558	-35.826946	-15.9111185	0.9939439	14743.390042543411
59	21.1472	43.442307	116.41791	-8.953425	-0.33296317	0.45250633	0.41801763	-0.8630728	1000.0	1000.0	589999	12.734653	6.1642747	175.99567	1.5568106	-12.902845	0.46562958	14997.76790356636
60	-0.34288254	1.0915414	1.8759128	-2.0720541	-0.9087187	1.1192087	1.1506115	-2.1918483	1000.0	1000.0	599999	17.665922	6.9617996	173.40248	-2.5339143	-17.96465	0.6848336	15252.312959909439
61	32.046696	74.163	227.32199	-26.545017	17.492609	48.674248	117.00375	-20.556873	1000.0	1000.0	609999	18.07249	9.737765	173.32469	-2.6109068	-18.199577	1.0027225	15506.613166570663
62	23.91347	71.08354	216.71565	-58.248947	0.23456816	1.5502807	2.932715	-1.5029699	1000.0	1000.0	619999	21.085342	13.172583	159.1437	1.1278822	-21.435465	1.595904	15761.667875289917
63	33.044155	50.802444	112.90613	-2.020817	43.226845	70.95447	209.36047	-3.621773	1000.0	1000.0	629999	24.049204	11.262749	188.74562	2.0104187	-24.252941	1.2478186	16016.238760948181
64	12.835887	90.7371	206.14143	-90.18728	21.168293	43.852394	109.51315	-2.274156	1000.0	1000.0	639999	20.157034	12.009992	178.54178	7.1916976	-20.264967	1.30671	16271.532640695572
65	59.697685	89.21225	211.60603	-40.01572	11.159109	34.571533	114.64025	-4.485519	1000.0	1000.0	649999	16.379507	12.171977	156.21953	3.5072436	-16.519394	1.4043406	16526.790760040283
66	9.88576	32.85109	108.03596	-9.860705	32.025944	95.88636	319.68454	-0.25736758	1000.0	1000.0	659999	16.155392	12.859303	155.27118	-0.2967887	-16.312849	1.2521683	16782.724905014038
67	10.199636	31.794552	105.562996	-1.802612	0.09842564	0.5597624	0.9509354	-0.9139539	1000.0	1000.0	669999	16.792532	10.146448	152.03915	-1.569082	-17.066359	0.97109807	17040.586242437363
68	0.09960965	0.38139436	0.7317244	-0.5679148	-0.7254392	1.9442301	2.4849675	-4.4907384	1000.0	1000.0	679999	28.33769	13.102598	175.88321	-3.427002	-28.7919	1.2507339	17302.33142733574
69	-0.89449537	1.7743434	2.2332644	-3.3433034	11.552165	30.134937	101.74995	-1.4838829	1000.0	1000.0	689999	36.910767	15.906919	187.64635	1.4800899	-37.551193	2.221861	17565.12236237526
70	8.840248	36.875374	118.22344	-18.14074	-1.0132244	2.3789577	2.9119983	-4.3135552	1000.0	1000.0	699999	48.73441	15.15237	196.67279	-0.42844367	-49.34753	2.6202073	17828.762935876846
71	-1.891185	4.2152424	5.0450277	-12.527708	21.453987	41.783306	105.8251	-0.44869417	1000.0	1000.0	709999	39.89598	15.684311	217.85484	7.724828	-40.067314	2.5092757	18093.897466897964
72	0.64089924	1.342102	4.139682	-0.5106197	0.31334108	0.56797075	1.077419	-1.0700109	1000.0	1000.0	719999	51.54756	28.685524	223.92581	3.8956819	-52.48096	3.7310188	18359.043799877167
73	0.48932877	1.6247882	4.1481886	-1.3068883	10.960373	31.218609	104.60861	-0.22715445	1000.0	1000.0	729999	31.045397	25.77177	196.15106	-2.0645738	-30.731575	1.9206065	18625.931594610214
74	32.247276	48.96852	107.989075	-0.7377656	0.25012755	1.0728297	2.6695712	-1.2490036	1000.0	1000.0	739999	20.52217	13.872501	182.82837	3.4950068	-20.48405	0.92734414	18891.84723520279
75	10.506163	31.264502	104.262115	-0.89903486	64.28264	70.897514	215.11641	-0.7246654	1000.0	1000.0	749999	11.832023	9.114151	173.8515	0.13602757	-11.895057	0.62669045	19158.49301481247
76	8.753889	59.484016	112.65201	-97.03393	77.724205	111.18187	326.10403	-8.691057	1000.0	1000.0	759999	5.903138	8.408025	201.71298	1.9345804	-5.927934	1.2152103	19426.529692173004
77	108.88751	98.6237	325.1404	-11.374016	21.187872	41.6823	105.14162	-0.78081864	1000.0	1000.0	769999	6.516755	11.546552	164.5546	2.0671947	-6.585799	1.7566686	19694.96591448784
