Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	26.297394	68.551636	115.321266	-34.421158	-69.01992	122.11794	7.75681	-293.86172	1000.0	1000.0	335.0	646.6413	1960.0	0.0	3358.5	4098.2173	14650.0	0.0	10000.0	1.4001999	1.4727179	112.945015	-1.9966598	-1.585382	1.8918169	98.96610832214355
2	-12.422659	15.341672	12.3165045	-31.212444	-144.63748	144.91133	0.08709981	-311.98895	1000.0	1000.0	906.0	919.45856	2600.0	0.0	822.0	2301.9568	9740.0	0.0	20000.0	7.382771	10.665759	217.42941	-7.5691376	-7.9002194	2.3530636	207.73179125785828
3	-20.600819	58.238808	2.3306882	-194.88731	-0.04907169	0.34705594	0.67663884	-0.8728893	1000.0	1000.0	135.0	405.0	1350.0	0.0	987.5	1484.459	5970.0	0.0	30000.0	19.53679	17.354696	201.5223	-4.467567	-20.172487	1.582702	319.2436218261719
4	0.1025968	0.40738285	0.94283444	-0.5430601	0.008691413	0.27884322	0.6403249	-0.57652175	1000.0	1000.0	111.0	231.27689	700.0	0.0	496.5	788.08167	2080.0	0.0	40000.0	27.574627	23.18479	197.55196	1.2946813	-28.257998	1.3294107	429.9893217086792
5	0.21903877	0.17502205	0.48420924	4.316654e-06	0.0051683276	0.41000283	0.9055052	-1.2201265	1000.0	1000.0	2161.0	2176.8713	5940.0	0.0	505.5	1028.5157	2950.0	0.0	50000.0	36.59829	31.996815	257.00882	0.18436211	-37.10528	1.0782108	536.9313144683838
6	0.05839468	0.17483044	0.39714995	-0.19338922	-0.013244453	0.46067733	0.5877374	-1.6958088	1000.0	1000.0	687.0	1121.7401	3510.0	0.0	1168.0	1326.2827	3420.0	0.0	60000.0	41.555058	36.437336	241.90878	1.3497758	-42.55944	1.1097548	645.9381692409515
7	0.12455145	0.75873226	2.331486	-0.51435727	0.18864281	0.4589798	1.0049099	-0.85997534	1000.0	1000.0	0.0	0.0	0.0	0.0	1028.0	1157.1154	3440.0	0.0	70000.0	50.74855	44.341152	254.26318	2.6107697	-51.74902	1.0902433	761.7310483455658
8	1.1579766	3.7633832	12.4104805	-0.58345103	-114.61975	142.93214	13.101064	-303.3198	1000.0	1000.0	142.0	239.07321	720.0	0.0	1539.0	2986.5144	10530.0	0.0	80000.0	80.842705	77.949684	278.57275	1.3552735	-82.86174	1.4011221	874.4513294696808
9	-10.654797	32.029408	0.78239954	-106.73791	-0.113534465	0.46500888	0.77847433	-0.94806546	1000.0	1000.0	0.0	0.0	0.0	0.0	630.0	817.37384	2170.0	0.0	90000.0	87.779495	85.58557	396.31717	0.49209	-89.50912	1.6330731	983.8316035270691
10	0.09598179	0.322672	0.8345216	-0.30301115	0.0032040894	0.43593884	0.93486583	-0.81104964	1000.0	1000.0	0.0	0.0	0.0	0.0	416.5	809.69293	2480.0	0.0	100000.0	124.20237	122.550156	386.88577	1.2341213	-125.52473	1.8360385	1095.1081249713898
11	0.08296002	0.4888136	1.0262852	-0.9588027	-0.24352555	0.62196386	0.59044427	-1.8868461	1000.0	1000.0	518.0	1060.9977	3140.0	0.0	704.0	1450.2979	5430.0	0.0	110000.0	118.10167	119.614716	440.4728	0.7617842	-121.23009	2.1523254	1205.9634249210358
12	-0.1539118	0.505406	0.56508654	-1.189104	-0.025366113	0.37157333	0.72146684	-1.0173564	1000.0	1000.0	0.0	0.0	0.0	0.0	56.0	115.342964	380.0	0.0	120000.0	153.69472	154.45648	474.72244	-0.30295444	-153.84412	2.2955134	1316.1282694339752
13	0.20734635	0.54181457	0.8556776	-1.0567778	-0.013536054	0.45371035	1.0631251	-0.9621528	1000.0	1000.0	415.0	994.4974	3300.0	0.0	298.5	585.6729	1870.0	0.0	130000.0	134.32854	139.02806	512.6869	0.049419105	-138.45177	2.6685336	1425.3196351528168
14	-0.10027613	0.391754	0.46208128	-0.98319036	0.14567609	0.6397357	2.0909092	-0.88839215	1000.0	1000.0	862.0	1717.5203	4660.0	0.0	497.0	897.99274	3250.0	0.0	140000.0	181.03085	185.52509	526.6959	-0.22984868	-180.31236	3.4829066	1534.7032885551453
15	0.1659905	0.47924152	1.2365234	-0.47777104	-0.0076461895	0.4862082	1.235145	-0.77738076	1000.0	1000.0	692.0	1566.3257	5100.0	0.0	732.5	1388.3151	5490.0	0.0	150000.0	136.47368	148.38068	593.9234	-0.4993484	-141.79774	5.25292	1644.2519476413727
16	-0.02011714	0.39870757	0.65995955	-0.94539285	-0.025428161	0.46413288	1.0438297	-1.1867235	1000.0	1000.0	263.0	516.3729	1330.0	0.0	136.0	365.17667	1490.0	0.0	160000.0	258.6678	262.75317	713.49414	-0.73763984	-261.7947	7.279479	1752.7198770046234
17	-0.14103042	0.31993577	0.2582891	-0.66441625	0.063091576	0.41071337	0.8939244	-0.9584422	1000.0	1000.0	128.0	370.85846	1240.0	0.0	307.0	1054.3107	4820.0	0.0	170000.0	202.92924	214.45251	1021.58203	-0.89647764	-208.17026	12.046826	1861.9056766033173
18	0.07987332	0.4140841	0.9458297	-0.7192869	-0.19946428	0.48288023	0.8683566	-1.5674913	1000.0	1000.0	489.0	989.4084	2780.0	0.0	373.5	1324.7803	5970.0	0.0	180000.0	445.8323	459.70404	1201.6289	-0.96558505	-457.58374	18.663359	1970.8570222854614
19	-0.06904509	0.7587962	1.8508954	-0.9926382	-0.04983027	0.44734648	1.4747424	-0.8492535	1000.0	1000.0	943.0	1273.6487	3370.0	0.0	1008.0	1129.3254	3500.0	0.0	190000.0	329.45917	346.32913	1338.1643	-1.5133541	-326.60965	20.449917	2079.1584520339966
20	0.13585418	0.42137033	1.0854101	-0.54802966	-0.016672509	0.40352082	0.78956205	-0.8647749	1000.0	1000.0	40.0	120.0	400.0	0.0	248.5	602.16504	2310.0	0.0	200000.0	506.17105	536.2167	1613.1395	-1.957864	-526.5292	26.913065	2187.2169423103333
21	-0.062011153	0.665288	1.1302962	-1.2078848	0.0029076985	0.37769404	0.78065103	-0.958839	1000.0	1000.0	101.0	196.49173	650.0	0.0	4.0	17.435596	80.0	0.0	210000.0	659.3675	666.7909	1859.3463	-2.1553729	-661.30817	33.187088	2294.9446849823
