Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-354.4405	120.52087	-176.732	-523.87	-346.67407	177.6386	3.767133	-636.70764	1000.0	1000.0	696.0	955.2403	2510.0	0.0	1945.5	2537.4644	8640.0	0.0	10000.0	-1.7444519	1.4307736	7.0376143	-8.121136	1.5254505	0.113528885	110.45066452026367
2	-504.71893	119.78477	-348.51215	-679.8225	-336.8281	173.41846	-70.07904	-582.0009	1000.0	1000.0	800.0	526.9155	1420.0	0.0	1640.5	2671.7212	8830.0	0.0	20000.0	-2.9979453	2.231425	8.658549	-14.417888	2.7148504	0.12988983	230.51114583015442
3	-336.68793	140.19945	-194.48997	-625.9779	-392.29532	209.92024	-0.00025165267	-702.92865	1000.0	1000.0	30.0	62.609905	190.0	0.0	1335.0	2113.645	7330.0	0.0	30000.0	-4.817256	3.9056368	9.677158	-18.376263	4.4839497	0.16263203	349.9674139022827
4	-370.14346	228.22203	-79.98867	-680.59906	-304.7291	155.14362	-7.837144	-587.7741	1000.0	1000.0	430.0	1069.0557	3570.0	0.0	619.0	1106.9774	3550.0	0.0	40000.0	-3.4957013	5.014726	12.787704	-18.760607	3.0455613	0.14918113	461.28643441200256
5	-198.05698	79.00683	-66.26407	-298.58646	-286.93213	202.73872	-4.1946278e-06	-790.12994	1000.0	1000.0	2365.0	2758.7578	7670.0	0.0	562.0	1085.9954	3410.0	0.0	50000.0	0.1074705	5.5458612	22.82999	-18.547787	-0.6063753	0.15278627	568.9736595153809
6	-372.24274	185.47995	-4.752307	-628.70276	-323.09344	171.24026	-111.50142	-701.79376	1000.0	1000.0	419.0	851.3924	2900.0	0.0	1348.0	1447.8212	3420.0	0.0	60000.0	3.3183575	6.468564	43.200146	-16.449598	-3.8358898	0.17308415	676.9820992946625
7	-245.25049	100.90551	-79.98579	-382.07523	-298.54825	217.24724	0.019360686	-649.7361	1000.0	1000.0	0.0	0.0	0.0	0.0	1109.5	1452.0312	4690.0	0.0	70000.0	6.61628	7.1503344	54.545208	-16.36978	-7.1777577	0.20679551	784.9403643608093
8	-345.22638	167.82681	-12.461477	-531.48114	-299.84467	169.67229	-0.0002538473	-516.56683	1000.0	1000.0	242.0	491.3817	1570.0	0.0	1510.5	3267.6958	12730.0	0.0	80000.0	10.786287	9.399678	66.534645	-14.579166	-11.449151	0.27793747	893.3078966140747
9	-290.48383	99.48452	-80.91548	-457.6096	-373.97772	174.61456	-105.47029	-749.8668	1000.0	1000.0	0.0	0.0	0.0	0.0	921.0	1172.953	4000.0	0.0	90000.0	15.925139	11.599212	80.351555	-14.058033	-16.614958	0.29646075	1002.7665326595306
10	-243.75693	149.07526	-66.21467	-489.42984	-218.92639	128.11569	-3.626153	-549.1788	1000.0	1000.0	14.0	42.0	140.0	0.0	380.0	885.12714	2960.0	0.0	100000.0	22.209148	14.49489	88.0938	-14.312895	-23.01282	0.41840714	1110.4130141735077
11	-165.20602	142.67375	0.7858835	-378.86575	-376.5869	190.85231	-3.9056997	-754.6118	1000.0	1000.0	376.0	733.7465	2300.0	0.0	703.5	1376.2677	4160.0	0.0	110000.0	26.746422	14.091361	88.06399	-11.728352	-27.511553	0.46285996	1218.278312444687
12	-403.1801	76.41802	-298.86783	-561.39056	-350.4271	220.3301	-1.9784055e-07	-687.9319	1000.0	1000.0	80.0	240.0	800.0	0.0	16.0	52.8583	240.0	0.0	120000.0	35.94581	14.001586	92.22341	-8.717416	-37.03926	0.5726276	1327.9143996238708
13	-316.61377	240.73659	-79.97889	-722.1167	-330.5157	157.05675	-2.0285099	-529.7266	1000.0	1000.0	686.0	1373.2312	3560.0	0.0	476.5	1188.0542	5090.0	0.0	130000.0	45.714146	15.435419	104.49597	-3.6016293	-46.96945	0.7026995	1431.3619434833527
14	-387.91782	307.8784	-0.35858738	-1069.8835	-335.05627	149.81151	-96.92809	-581.8315	1000.0	1000.0	692.0	1677.5983	5580.0	0.0	544.0	980.77216	3040.0	0.0	140000.0	52.54877	14.1229315	129.14128	4.583733	-53.37685	0.64803255	1534.368907213211
15	-307.1748	217.64732	-80.11914	-767.1466	-246.96182	150.71498	2.6308444	-599.777	1000.0	1000.0	793.0	1288.6741	3500.0	0.0	1533.5	2231.5293	6910.0	0.0	150000.0	48.478703	13.370112	136.58844	14.485687	-49.126793	0.59384954	1638.3550658226013
16	-359.96494	186.60468	-3.4479702	-603.3563	-275.59146	187.62044	1.8983011	-568.5801	1000.0	1000.0	173.0	519.0	1730.0	0.0	290.5	795.59705	3410.0	0.0	160000.0	46.435818	15.679533	146.30275	16.581211	-47.16811	0.6146864	1741.6927590370178
17	-414.20508	439.3447	24.384268	-1614.232	-407.8952	161.39001	-79.9887	-631.9014	1000.0	1000.0	353.0	893.2195	3000.0	0.0	193.5	843.4469	3870.0	0.0	170000.0	42.863308	17.777334	148.84642	8.462069	-43.36545	0.5943074	1845.535222530365
18	-256.93365	164.78174	-0.027042482	-491.86234	-322.14542	259.92767	1.9964571	-704.46356	1000.0	1000.0	242.0	549.1229	1790.0	0.0	435.0	1048.5061	3250.0	0.0	180000.0	37.81513	20.962103	150.49316	0.74687755	-38.376476	0.6440874	1949.2891731262207
19	-378.32355	179.99365	-35.858833	-690.96405	-319.2824	211.9191	-0.9882285	-700.3083	1000.0	1000.0	1662.0	1997.0317	6440.0	0.0	1844.5	1970.0443	5980.0	0.0	190000.0	34.401405	26.367008	169.81464	-9.931342	-34.97865	0.7752544	2053.038088083267
20	-449.69067	260.7377	-92.058876	-1002.9805	-301.9588	113.55978	-79.98543	-442.95047	1000.0	1000.0	0.0	0.0	0.0	0.0	536.0	1364.1276	4910.0	0.0	200000.0	33.740437	32.629814	207.0525	-13.640397	-34.428406	1.099253	2156.577624797821
