Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-287.54202	108.69923	-77.276054	-495.11456	1646.5	2023.3716	5530.0	0.0	1000.0	32930.0	1.6465	0.69929886	0.4511447	2.0111656	-1.3606917	-0.4061814	0.2404047	0.82843405	-1.347798	7.019043e-08	-0.013147152	-1.5625e-06	-0.34021407	858.4564	-710.59595	82109.555	-10503.484	0	0	1.5265032	0.0	1.837877	0.008932898	20000.0	198.21282529830933
1	-326.53403	72.250275	-197.4626	-527.0488	1096.0	1477.039	4410.0	0.0	1000.0	54850.0	1.37125	-25.94339	1.536816	11.662652	-26.441528	39.639477	1.1875669	39.795006	-8.618285	1.8310548e-08	-0.014235614	3.90625e-07	-0.09476894	99.385735	-38.59435	38566.277	-1662.125	0	0	1.390119	0.0	1.8565333	0.008643764	40000.0	394.4579701423645
2	-298.03412	118.72156	-78.95585	-589.60175	1603.5	2128.5684	5910.0	0.0	1000.0	86920.0	1.4486666666666668	-31.966347	0.9163515	1.4046667	-32.20564	53.313736	1.1263763	53.4208	3.8236089	-2.4414062e-08	-0.013390076	-2.34375e-06	-0.01818711	137.57538	-5.227356	73472.32	-3359.9453	0	0	1.4822794	0.0	1.8688592	0.009101352	60000.0	590.3789179325104
3	-298.82172	114.16306	-63.418335	-478.98517	1618.0	2177.2517	6970.0	0.0	1000.0	119280.0	1.491	-29.937094	0.8264327	-1.4910544	-30.121868	72.62245	0.92442507	72.69664	17.169487	-3.3569336e-08	-0.012716886	-4.296875e-06	-0.21308233	122.61752	-0.92074585	71618.195	-2548.625	0	0	1.5802901	0.0	1.8772461	0.009156664	80000.0	786.9513967037201
4	-319.35626	108.54799	-134.21843	-566.3044	936.0	1733.6014	5620.0	0.0	1000.0	138000.0	1.38	-29.82086	0.7497297	10.403229	-29.9669	90.156265	1.2466385	90.21834	-4.262007	3.051758e-08	-0.011933429	-3.90625e-07	-0.11302891	114.94024	-3.668579	42049.227	-3.2695312	0	0	1.6434156	0.0	1.8729444	0.008697286	100000.0	983.4412477016449
5	-339.46585	126.40991	-122.02441	-554.70966	823.0	1335.0883	4400.0	0.0	1000.0	154460.0	1.2871666666666666	-31.657125	0.46327776	-13.388911	-31.76924	91.79717	1.1880485	91.867004	1.3724325	-1.7166137e-08	-0.011754985	-1.7578125e-06	-0.006303711	156.57613	-4.6769104	28951.871	-17.048828	0	0	1.673112	0.0	1.8842839	0.0088708615	120000.0	1179.1214418411255
6	-291.35913	117.40753	-61.15651	-453.18655	989.5	1808.708	7010.0	0.0	1000.0	174250.0	1.2446428571428572	-33.719673	0.89209217	8.795995	-33.880703	90.43506	1.6391274	90.54904	4.764004	-1.2207031e-08	-0.014112542	1.171875e-06	-0.30789334	146.27063	-18.557304	50014.44	-55.078125	0	0	1.3881228	0.0	1.8678656	0.008976453	140000.0	1374.9393072128296
7	-259.6332	97.02772	-66.561165	-445.95212	1079.0	1705.1887	5010.0	0.0	1000.0	195830.0	1.2239375	-29.416441	0.59443116	3.8043604	-29.538078	92.128174	4.6183934	92.48647	-86.53557	2.746582e-08	-0.012353088	2.734375e-06	-0.17695509	102.713974	-10.121048	58077.574	-612.8008	0	0	1.640802	0.0	1.8680359	0.009179257	160000.0	1570.8263154029846
8	-295.2845	118.04918	-59.591793	-488.77872	321.0	1005.1811	4290.0	0.0	1000.0	202250.0	1.1236111111111111	-26.224625	0.5313022	10.818612	-26.33967	87.643394	15.6870985	97.618256	-79.92218	-7.93457e-08	-0.01321886	7.8125e-07	-0.14951992	137.0869	-8.68222	13077.745	-3068.4805	0	0	1.5072978	0.0	1.854822	0.009238437	180000.0	1766.9419031143188
9	-300.88388	110.42401	-129.73253	-552.40546	979.0	1411.8494	4150.0	0.0	1000.0	221830.0	1.10915	-29.162212	0.46054265	0.51530474	-29.244612	32.841354	20.684309	81.84466	-57.174473	6.103516e-08	-0.012002625	-1.171875e-06	0.057430275	116.20265	-1.4942932	36020.062	-4156.7344	0	0	1.6293417	0.0	1.8791932	0.008727101	200000.0	1963.7606303691864
