Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-294.90375	151.73935	-112.61779	-610.23224	-390.8283	211.18552	-26.211306	-760.35815	1000.0	1000.0	9999	4.064088	6.0558276	37.931683	-12.400332	-4.753174	0.23118639	249.47170996665955
2	-310.47955	199.96329	-29.124338	-605.54254	-211.2967	186.906	33.956867	-538.22314	1000.0	1000.0	19999	39.245552	16.37931	110.09722	-4.3387346	-40.92081	0.9707438	517.9975481033325
3	-323.15594	197.16261	-45.73396	-627.6544	-260.0543	267.47217	50.64563	-765.4485	1000.0	1000.0	29999	98.67307	27.253027	263.91846	43.834488	-101.42281	4.5889134	788.2027859687805
4	-202.7192	218.22742	81.59717	-592.40985	-375.90414	117.72311	-145.00427	-563.84973	1000.0	1000.0	39999	160.10466	26.524347	403.48956	82.211006	-162.9434	7.866156	1059.2074122428894
5	-262.24298	175.44485	51.335155	-604.3537	-309.28107	234.58203	-46.759014	-727.6324	1000.0	1000.0	49999	214.99474	30.387695	501.67075	122.23663	-218.53516	12.297581	1332.1226708889008
6	-151.65523	159.61104	-0.6296336	-517.5996	-284.08096	190.00331	-36.187428	-589.2794	1000.0	1000.0	59999	288.0368	51.783543	713.8418	165.95865	-293.25504	17.75071	1605.4111285209656
7	-222.44998	211.85196	29.5926	-534.60297	-193.66537	222.18909	74.36591	-532.5914	1000.0	1000.0	69999	456.83096	104.40526	1556.5527	234.38254	-466.4079	55.324387	1879.7320144176483
8	-239.47981	190.50183	92.47986	-515.101	-395.9617	187.40938	-85.998184	-713.6289	1000.0	1000.0	79999	832.4035	232.92137	2941.1958	360.17133	-850.9964	192.1091	2154.2527463436127
9	-243.34326	185.40242	67.1337	-546.4823	-464.98495	165.66249	-147.05904	-725.77094	1000.0	1000.0	89999	1551.2637	448.35046	5715.155	540.2098	-1586.412	559.1776	2428.9513630867004
10	-252.35347	202.7647	28.693392	-618.6453	-146.33272	203.01659	92.72995	-587.5397	1000.0	1000.0	99999	2751.0786	671.4416	6629.0723	1252.3687	-2804.2473	1130.5059	2704.8186440467834
11	-421.25922	234.87753	21.175451	-824.1506	-324.58234	271.40622	106.8758	-768.0162	1000.0	1000.0	109999	4292.287	962.4982	11039.863	1980.6685	-4373.1006	2557.1719	2980.0763092041016
