Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.35434398	1.6490892	3.6225128	-2.1799176	1820.0	2409.5974	7690.0	0.0	1000.0	36400.0	1.82	0.72093445	0.45145553	1.9324421	-1.2030716	-0.4607712	0.2084244	0.5468674	-1.2489961	5.340576e-09	-0.01021264	2.9296876e-07	-0.028409375	0.78926855	-0.5885158	106990.11	-11759.25	0	0	1.9779956	0.0	1.837877	0.00904243	20000.0	248.35770773887634
1	-0.017403787	1.7827475	2.6673074	-3.854523	835.0	1424.5542	4850.0	0.0	1000.0	53100.0	1.3275	0.12562846	0.16136461	1.2321942	-0.38012674	39.66007	1.1330389	39.825455	4.694153	2.2888185e-09	-0.009710333	-2.34375e-06	-0.028266797	0.20184748	-0.03285016	29658.637	-656.94336	0	0	2.0489218	0.0	1.8464208	0.0090745855	40000.0	495.9284403324127
2	0.46936616	1.1097804	2.748464	-1.7154996	1234.0	2129.637	8370.0	0.0	1000.0	77780.0	1.2963333333333333	0.018765574	0.20172022	1.4983611	-0.52366275	48.44775	1.4296349	48.630753	4.5788	7.629395e-09	-0.010547108	-4.6875e-06	0.1703	0.16394953	-0.020751253	59400.87	-1583.8086	0	0	1.9012839	0.0	1.8228096	0.008404355	60000.0	746.0458493232727
3	0.26379594	2.0370972	6.1712346	-2.3415236	1259.5	2146.5823	7260.0	0.0	1000.0	102970.0	1.287125	0.061997484	0.23231795	1.3720126	-0.35737544	61.946583	1.4327049	62.073643	-12.487469	-1.373291e-08	-0.009505233	-2.734375e-06	0.1420168	0.21347658	-0.023636118	59166.74	-1364.9609	0	0	2.0312274	0.0	1.8311595	0.009063585	80000.0	991.5389838218689
4	-0.38336554	1.4292237	1.4017662	-3.3383455	720.5	1208.53	3730.0	0.0	1000.0	117380.0	1.1738	-0.018204255	0.17902298	0.9351126	-0.51180536	75.44006	1.9709417	75.5678	-65.07914	1.0681152e-08	-0.009569926	-2.1484375e-06	0.016527832	0.1745095	-0.03571768	23812.8	-18.94336	0	0	2.065255	0.0	1.8138587	0.008968575	100000.0	1237.5086691379547
5	-0.08133075	1.1874633	2.3494244	-1.9126586	276.0	682.88654	2780.0	0.0	1000.0	122900.0	1.0241666666666667	-0.012566744	0.31070346	2.6308198	-0.4477826	74.82012	3.0730164	75.099815	-64.86749	-1.0681152e-08	-0.009098556	1.171875e-06	0.08475234	0.2007136	-0.048432752	7999.4814	-961.0703	0	0	2.12442	0.0	1.7793932	0.009029384	120000.0	1484.9488792419434
6	-0.07154906	1.9862748	4.615741	-3.2412362	1159.5	1867.9681	6180.0	0.0	1000.0	146090.0	1.0435	0.005219021	0.23599449	1.7593442	-0.63427836	58.067287	14.531497	64.109566	-60.09414	7.629395e-09	-0.010243522	3.90625e-07	-0.26760155	0.1892266	-0.040325135	64190.91	-1592.707	0	0	1.9136032	0.0	1.8016753	0.008827587	140000.0	1733.6108577251434
7	-0.033839602	1.4820665	2.5696557	-2.978653	647.0	1251.5034	4270.0	0.0	1000.0	159030.0	0.9939375	-0.014991454	0.3007109	1.4369181	-0.6089059	75.8088	1.805496	75.95347	-29.000698	1.5258789e-09	-0.010988519	-1.5625e-06	0.025858985	0.2013243	-0.04888609	19656.684	-56.958984	0	0	1.8498164	0.0	1.8372699	0.008652786	160000.0	1983.9047694206238
8	0.04581737	1.8738121	4.5330243	-3.6262038	316.5	1197.532	5490.0	0.0	1000.0	165360.0	0.9186666666666666	-0.0060293158	0.22070199	1.3337142	-0.45123553	73.52947	3.1200626	73.925644	-55.7809	-1.1825562e-08	-0.010655072	7.8125e-07	-0.051121484	0.20885259	-0.034420952	18965.703	-1725.8633	0	0	1.8811101	0.0	1.8450882	0.009120597	180000.0	2235.599008321762
9	0.44305357	1.4122286	3.0960195	-1.7526426	888.5	1349.5491	4800.0	0.0	1000.0	183130.0	0.91565	0.05647149	0.27772555	1.3652749	-0.73586	32.058327	12.400909	61.042458	-34.401978	-1.6021728e-08	-0.011473762	-1.953125e-06	0.08877695	0.18359965	-0.05373247	35776.133	-2345.1562	0	0	1.7325963	0.0	1.8317845	0.008973841	200000.0	2481.921140432358
10	0.6548227	1.3371805	3.276516	-1.4328923	440.0	1058.5934	3790.0	0.0	1000.0	191930.0	0.8724090909090909	0.017268112	0.26319852	1.5184348	-0.50547457	70.255684	4.7274637	74.16106	-25.406452	3.0517577e-09	-0.010096728	7.8125e-07	-0.016076561	0.1633425	-0.029027387	15758.349	-668.75684	0	0	2.0060148	0.0	1.8650752	0.008631316	220000.0	2729.8274981975555
11	0.34137687	1.6145985	3.520072	-3.892528	323.5	981.9331	3950.0	0.0	1000.0	198400.0	0.8266666666666667	0.06496935	0.3007987	1.4243554	-0.5897454	52.336964	8.166448	70.67052	-56.845608	9.155274e-09	-0.010894534	7.8125e-07	-0.017493358	0.18850376	-0.033260807	13936.432	-586.9785	0	0	1.7631372	0.0	1.8607833	0.008879733	240000.0	2978.7315905094147
12	5.460538	23.102516	105.96198	-2.7295885	441.5	929.28613	3550.0	0.0	1000.0	207230.0	0.7970384615384616	0.03194261	0.26452196	1.3691216	-0.56111145	28.592115	13.9089	68.11107	-59.74963	-3.2043456e-08	-0.023190731	-3.90625e-07	-0.045484178	25.765493	-16.414917	11633.64	-484.14844	0	0	1.1310135	0.0	1.8364577	0.00706024	260000.0	3230.0320143699646
13	0.104044005	1.2524257	2.5992844	-2.2423937	1132.5	1723.8964	4800.0	0.0	1000.0	229880.0	0.821	-0.13233899	1.3400105	26.210571	-12.687047	40.942657	7.5215383	68.473976	-19.519592	3.8146974e-09	-0.012612774	1.5625e-06	0.11101465	2.6535835	-1.7605913	49151.547	-4088.2812	0	0	1.6089847	0.0	1.8118521	0.008760316	280000.0	3481.871571779251
14	0.36833256	1.5110275	3.7729554	-2.623219	292.5	991.5839	4570.0	0.0	1000.0	235730.0	0.7857666666666666	0.08947816	0.36845762	4.7618346	-3.3157096	80.7543	9.9786005	85.97618	-61.38232	-4.577637e-09	-0.012348046	7.8125e-07	-0.042932034	0.22534937	-0.073271245	14242.972	-2868.2715	0	0	1.6016915	0.0	1.8245443	0.008433505	300000.0	3733.086629152298
15	0.98370206	1.4534631	3.4158862	-1.335757	395.0	1242.419	5270.0	0.0	1000.0	243630.0	0.76134375	0.030041214	0.26945162	11.094577	-2.971103	26.784813	20.127892	80.106255	-42.548218	0.0	-0.011168006	-3.90625e-07	0.04841719	0.18520892	-0.058639303	16560.035	-512.3115	0	0	1.8338276	0.0	1.8200223	0.009184138	320000.0	3981.742482662201
16	0.24732347	2.3681304	4.800353	-6.2502537	461.0	1369.3134	5940.0	0.0	1000.0	252850.0	0.7436764705882353	0.08498026	0.35832444	18.291616	-2.552294	42.512276	18.869026	68.42173	-48.664448	6.866455e-09	-0.010295779	-1.3671875e-06	0.02445918	0.2787353	-0.08367878	21371.586	-404.0332	0	0	1.8981783	0.0	1.8268228	0.008779439	340000.0	4231.524329423904
