Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-287.54202	108.69923	-77.276054	-495.11456	1646.5	2023.3716	5530.0	0.0	1000.0	32930.0	1.6465	0.69929886	0.4511447	2.0111656	-1.3606917	-0.4061814	0.2404047	0.82843405	-1.347798	-7.461547e-07	-0.65536726	-1.5625e-06	-1.2871424	858.4564	-710.59595	82109.555	-10503.484	0.99999994	0.03189546	0.029711708	0.0	1.837877	0.00856163	20000.0	199.14511632919312
1	-329.24908	79.65308	-181.06738	-520.64465	1015.5	1606.2456	4450.0	0.0	1000.0	53240.0	1.331	-26.033094	1.3827052	15.468303	-26.442009	39.667187	1.1838036	39.794937	-25.486088	1.4156834e-06	-0.5309073	2.734375e-06	-1.0295728	109.314835	-40.73294	43217.926	-1315.9883	1.0318954	0.03115213	0.03593374	0.0	1.8483183	0.009269027	40000.0	394.375084400177
2	-310.01764	125.77467	-70.60866	-649.1188	1090.0	1901.5703	5550.0	0.0	1000.0	75040.0	1.2506666666666666	-32.2143	1.2225158	2.7921405	-32.52154	52.052143	1.5220778	52.196957	-33.94893	7.814574e-07	-0.5557992	1.5625e-06	-1.0617961	151.9025	-2.9876404	49379.13	-955.5469	1.0630475	0.031666398	0.0330513	0.0	1.8569618	0.008225908	60000.0	589.5128409862518
3	-306.6705	119.39706	-56.597466	-508.13663	1645.5	2526.7737	8080.0	0.0	1000.0	107950.0	1.349375	-31.119247	0.8015425	-1.0768095	-31.29068	63.198338	1.8490136	63.350224	-38.731533	-3.6418288e-07	-0.74655694	-7.080078e-07	-1.4079282	132.65996	-0.73231506	87100.2	-3519.5625	1.0947139	0.032785058	0.024806127	0.0	1.828994	0.008947855	80000.0	783.1315660476685
4	-324.4067	107.25868	-135.76122	-575.6041	1199.5	1952.6968	5380.0	0.0	1000.0	131940.0	1.3194	-30.693241	0.8266224	11.556458	-30.853945	84.389435	1.4620852	84.49438	-31.299269	-8.194629e-07	-0.61661905	-1.5625e-06	-1.1454931	110.3641	-2.631195	55320.723	-505.8047	1.127499	0.033220768	0.031792954	0.0	1.8088709	0.009570231	100000.0	976.5395863056183
5	-347.42886	126.62216	-121.53347	-557.4759	456.0	933.667	3170.0	0.0	1000.0	141060.0	1.1755	-32.22862	0.6406306	-4.508613	-32.357224	91.932175	8.532347	93.25692	-85.86828	-3.288843e-07	-0.36371502	-5.859375e-07	-0.66728026	157.62024	-6.3606415	17636.422	-2260.3691	1.1607198	0.03135979	0.050031412	0.0	1.8201554	0.009202528	120000.0	1170.7656199932098
6	-306.02997	120.15682	-64.93427	-464.4808	544.0	1100.7015	3550.0	0.0	1000.0	151940.0	1.0852857142857142	-34.582214	0.96752393	7.726332	-34.75695	49.886868	16.68765	82.038864	-60.733093	-8.608439e-07	-0.38369823	-1.5625e-06	-0.69707733	150.51733	-13.474976	18935.053	-477.47266	1.1920795	0.030389309	0.048700627	0.0	1.7785151	0.008811485	140000.0	1364.8428630828857
7	-273.26367	98.33218	-64.14963	-474.8999	1071.0	2009.0542	5670.0	0.0	1000.0	173360.0	1.0835	-30.976097	0.95987487	3.242376	-31.234041	45.212505	6.122535	76.17036	-38.04036	-1.9289635e-06	-0.6327665	-3.515625e-06	-1.1356668	107.79864	-11.778297	57093.793	-4408.551	1.2224689	0.031398296	0.028074596	0.0	1.7411242	0.008535279	160000.0	1559.6070244312286
8	-307.04584	122.91317	-64.15272	-507.40897	213.5	890.1925	4090.0	0.0	1000.0	177630.0	0.9868333333333333	-27.718628	0.5831929	-5.13113	-27.88908	72.24008	26.474642	99.60054	-76.080795	3.313837e-07	-0.30840018	5.859375e-07	-0.54705274	147.50877	-9.39473	10220.42	-2793.6665	1.2538671	0.029196978	0.06016463	0.0	1.7394226	0.008788309	180000.0	1753.0758037567139
9	-293.46103	106.72753	-143.95097	-541.2742	1200.0	1786.6953	6500.0	0.0	1000.0	201630.0	1.00815	-30.447935	1.0917417	9.408967	-30.874172	24.929213	19.024376	88.61646	-55.636692	4.5509668e-07	-0.70014507	7.8125e-07	-1.233729	110.38626	-2.735077	66278.43	-9914.723	1.2830641	0.030810118	0.02618184	0.0	1.740361	0.008899935	200000.0	1947.3136250972748
