Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-310.31097	105.622444	-122.464714	-528.2241	1820.0	2409.5974	7690.0	0.0	1000.0	36400.0	1.82	0.72093445	0.45145553	1.9324421	-1.2030716	-0.4607712	0.2084244	0.5468674	-1.2489961	-7.324219e-08	-0.00977597	5.859375e-07	-0.29759678	966.2452	-816.9784	106990.11	-11759.25	0	0	1.9962146	0.0	1.837877	0.008873273	20000.0	194.83202719688416
1	-346.82227	72.22525	-220.18333	-559.68695	814.5	1323.4103	4230.0	0.0	1000.0	52690.0	1.31725	-28.03409	1.5373962	11.503951	-28.472542	39.65676	1.2648673	39.825287	-14.763909	2.4414062e-08	-0.010614697	-2.734375e-06	-0.056081444	92.51555	-37.855198	27879.424	-612.2246	0	0	1.820194	0.0	1.8431952	0.008944584	40000.0	387.627774477005
2	-337.1641	123.48217	-114.434326	-668.9608	1289.5	2201.162	7540.0	0.0	1000.0	78480.0	1.308	-34.070126	1.1226479	22.070633	-34.319958	48.246506	1.4707726	48.41734	-36.996883	-6.1035155e-09	-0.011089154	-3.90625e-06	-0.19750547	142.305	-1.1072998	74148.414	-1824.375	0	0	1.8016391	0.0	1.8617561	0.008722335	60000.0	580.1528444290161
3	-327.4795	104.22601	-119.720604	-488.30756	1757.0	2226.1382	7140.0	0.0	1000.0	113620.0	1.42025	-33.688282	0.882409	7.238109	-33.876694	62.536926	2.4194496	62.726837	-44.354427	2.2888184e-08	-0.011212741	0.0	-0.25492656	102.85734	-1.242279	91146.21	-4112.9453	0	0	1.7888085	0.0	1.8698324	0.009230337	80000.0	772.3601279258728
4	-342.12906	95.056015	-209.62535	-580.01654	920.5	1288.0508	3530.0	0.0	1000.0	132030.0	1.3203	-32.834175	0.6920732	-6.811136	-32.998672	84.48226	1.1549861	84.559814	18.198677	-3.051758e-08	-0.008462079	1.171875e-06	-0.20353712	86.219635	-1.8963699	27416.63	-19.513672	0	0	2.297661	0.0	1.8709662	0.00858791	100000.0	964.5223076343536
5	-359.1042	105.0317	-184.36359	-520.7453	742.5	1287.8271	4090.0	0.0	1000.0	146880.0	1.224	-33.933956	0.7033228	13.324936	-34.07618	87.24791	1.8167303	87.3495	-48.027122	1.6021728e-08	-0.009452129	-1.5625e-06	-0.04124258	107.766	-3.7184525	36244.574	-63.375	0	0	2.142034	0.0	1.8594453	0.009739104	120000.0	1156.7387549877167
6	-327.14346	112.86944	-118.77182	-464.13702	890.5	1563.958	5870.0	0.0	1000.0	164690.0	1.1763571428571429	-35.663063	0.9150641	8.104185	-35.859684	85.32597	4.8028245	85.736946	-81.99243	3.0517577e-09	-0.00955917	1.5625e-06	-0.059383202	122.7717	-19.449112	32612.982	-10.953125	0	0	2.075281	0.0	1.8206718	0.008754071	140000.0	1348.1897990703583
7	-303.48575	94.41676	-133.69157	-508.14133	891.0	1678.8356	5760.0	0.0	1000.0	182510.0	1.1406875	-31.95246	3.6942239	31.989143	-34.239483	85.78235	2.8256404	86.01148	-65.56452	3.0517577e-09	-0.011512635	-7.8125e-07	-0.028546486	91.815	-19.89003	38736.223	-39.79297	0	0	1.6669241	0.0	1.8285142	0.0090722805	160000.0	1538.8739793300629
8	-328.8402	118.32256	-116.753876	-534.4129	284.0	1179.6372	5420.0	0.0	1000.0	188190.0	1.0455	-30.637653	2.8078415	7.267673	-34.81478	86.749916	4.0447516	87.08737	-72.4947	6.103516e-08	-0.010947852	0.0	0.008533789	125.82135	-21.3637	16959.107	-3283.626	0	0	1.7847335	0.0	1.8158762	0.009148278	180000.0	1730.0375971794128
9	-322.3248	98.335556	-138.45354	-551.39886	750.0	1194.8431	3580.0	0.0	1000.0	203190.0	1.01595	-31.897268	5.0224075	2.0928316	-36.058277	28.6168	18.77614	59.24489	-27.977947	3.6621095e-08	-0.009596179	-7.8125e-07	-0.046677344	87.524734	-7.969116	25878.691	-2257.0742	0	0	2.0664902	0.0	1.8665471	0.00871097	200000.0	1920.3710913658142
