Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-271.538	109.27057	-76.22747	-495.25305	1646.5	2023.3716	5530.0	0.0	1000.0	32930.0	1.6465	0.69929886	0.4511447	2.0111656	-1.3606917	-0.4061814	0.2404047	0.82843405	-1.347798	3.3569336e-08	-0.013108626	-1.5625e-06	-0.32024202	779.0824	-635.19507	82109.555	-10503.484	0	0	1.5340511	0.0	1.837877	0.009031218	20000.0	196.93356823921204
1	-305.83844	69.74243	-174.36058	-499.75757	827.0	1285.8152	4050.0	0.0	1000.0	49470.0	1.23675	-24.419277	1.4134996	14.507516	-24.891666	39.657368	1.0792567	39.795	-7.9080515	0.0	-0.013177899	3.90625e-07	-0.12529336	87.49744	-32.330524	29886.637	-667.24414	0	0	1.4984215	0.0	1.8538363	0.008752818	40000.0	389.8263039588928
2	-295.84482	117.28447	-84.80102	-579.0186	1214.5	2340.4285	9440.0	0.0	1000.0	73760.0	1.2293333333333334	-29.802593	1.1530545	1.1489617	-30.141396	48.95317	1.3087295	49.10995	-0.43793106	-1.2207031e-08	-0.013270117	-2.34375e-06	-0.20475157	133.20406	-2.640625	74521.69	-1652.0469	0	0	1.4558007	0.0	1.857065	0.008630272	60000.0	582.5219030380249
3	-284.35406	106.63059	-54.8155	-438.4653	1398.5	2172.6812	9040.0	0.0	1000.0	101730.0	1.271625	-29.65507	0.77814275	-6.844183	-29.898975	63.392742	1.482771	63.505733	-33.882793	-3.051758e-08	-0.012823263	-1.7578125e-06	0.08971348	109.99162	-1.5603714	60026.965	-2141.1914	0	0	1.5339628	0.0	1.8512192	0.00823793	80000.0	775.5219640731812
4	-302.40082	104.29301	-139.29254	-551.99097	1179.0	1965.1409	6880.0	0.0	1000.0	125310.0	1.2531	-28.549313	0.7543845	8.307147	-28.703943	80.68965	1.3844697	80.78049	-12.69079	-1.0681152e-08	-0.0129089495	1.3671875e-06	-0.27103496	105.6639	-2.582306	56140.24	-612.23047	0	0	1.4997709	0.0	1.8483543	0.008662315	100000.0	968.1240081787109
5	-324.4746	123.40865	-116.8213	-524.96423	518.0	1069.0304	4360.0	0.0	1000.0	135670.0	1.1305833333333333	-30.02154	0.519343	1.358658	-30.134214	90.67644	1.8602713	90.795944	-36.45819	1.8692017e-08	-0.012893311	3.125e-06	-0.042346094	149.03723	-5.2244263	18315.756	-463.4961	0	0	1.5224336	0.0	1.8594034	0.009069273	120000.0	1160.7157802581787
6	-279.11264	113.13348	-63.24837	-439.02646	757.0	1342.9225	4560.0	0.0	1000.0	150810.0	1.0772142857142857	-32.26897	0.6776994	4.2672043	-32.40821	82.643936	2.4858887	82.8625	-33.35168	0.0	-0.01207279	-9.765625e-07	-0.061318554	135.16182	-16.727203	24458.889	-59.927734	0	0	1.6341356	0.0	1.8417363	0.00888544	140000.0	1352.7457234859467
7	-253.57405	90.45126	-70.92883	-469.4588	946.5	1808.1766	5170.0	0.0	1000.0	169740.0	1.060875	-28.185041	0.5917358	-3.1534965	-28.33986	79.40109	4.086733	79.77486	-53.29151	4.8828124e-08	-0.013312914	-1.171875e-06	-0.28340372	87.53123	-6.8994675	43187.11	-133.625	0	0	1.5345119	0.0	1.8394493	0.009111196	160000.0	1545.2711172103882
8	-279.7193	121.70417	-62.302864	-494.7975	335.0	1350.2981	6210.0	0.0	1000.0	176440.0	0.9802222222222222	-25.652365	0.77876353	3.092489	-25.906923	83.7547	3.9134252	84.13234	-59.650017	-3.3569336e-08	-0.012819864	3.90625e-07	-0.09250976	140.16217	-6.0241394	20914.967	-2526.2734	0	0	1.5229064	0.0	1.8300263	0.008700244	180000.0	1737.183888912201
9	-276.82513	103.68258	-110.6614	-520.06726	754.0	1299.032	4810.0	0.0	1000.0	191520.0	0.9576	-27.61988	0.47292686	-6.31927	-27.84624	32.871555	14.502871	60.96904	-48.38631	0.0	-0.012662732	1.953125e-06	0.060131643	101.90509	-0.63319397	26191.164	-2204.088	0	0	1.5967679	0.0	1.8455831	0.009113661	200000.0	1930.7511467933655
