Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-269.30566	109.196915	-76.05132	-494.28342	1646.5	2023.3716	5530.0	0.0	1000.0	32930.0	1.6465	0.69929886	0.4511447	2.0111656	-1.3606917	-0.4061814	0.2404047	0.82843405	-1.347798	-3.3569336e-08	-0.01297238	-1.5625e-06	-0.31325078	768.61035	-625.3795	82109.555	-10503.484	0	0	1.5462301	0.0	1.837877	0.009110576	20000.0	198.2003345489502
1	-306.94675	72.18408	-170.55826	-507.14774	882.5	1481.9308	4850.0	0.0	1000.0	50580.0	1.2645	-24.183554	1.4625232	9.75799	-24.682796	39.655807	1.0836381	39.795013	1.3472081	-6.1035155e-09	-0.013112432	-2.4414062e-06	-0.045039065	95.21068	-37.520565	41626.996	-876.5742	0	0	1.5307953	0.0	1.8547628	0.0090718735	40000.0	392.86087012290955
2	-286.56604	115.7942	-70.38753	-592.1923	1181.5	2018.7206	6680.0	0.0	1000.0	74210.0	1.2368333333333332	-29.969131	1.0825155	5.459406	-30.248734	50.09526	1.0715543	50.212963	-8.697148	0.0	-0.012813733	-1.171875e-06	-0.04055234	132.11623	-2.8587189	52312.754	-1376.5156	0	0	1.5547508	0.0	1.8454351	0.009115714	60000.0	587.3776271343231
3	-283.22617	114.62191	-65.99022	-487.649	1370.5	1878.9185	5970.0	0.0	1000.0	101620.0	1.27025	-28.69585	0.74582726	3.739717	-28.88694	63.392574	1.0829492	63.48294	-11.940189	-9.155274e-09	-0.012871179	-2.734375e-06	-0.03681719	122.528	-0.70189667	52592.06	-1896.582	0	0	1.5797925	0.0	1.846061	0.008622953	80000.0	782.1069240570068
4	-294.47498	101.51352	-143.33948	-524.9766	1124.5	1643.0474	4900.0	0.0	1000.0	124110.0	1.2411	-28.36217	0.5698671	-5.735498	-28.5363	79.76537	0.81602573	79.822586	11.246232	-9.155274e-09	-0.012277548	-1.5625e-06	-0.14636563	98.776215	-0.9730301	42160.875	-372.375	0	0	1.6285056	0.0	1.8519149	0.00884689	100000.0	976.9365811347961
5	-323.04443	115.79584	-121.72862	-508.4451	468.0	919.14417	3300.0	0.0	1000.0	133470.0	1.11225	-29.202497	0.6447657	11.69397	-29.360474	87.81875	1.40269	87.89392	-39.01933	0.0	-0.012790819	1.171875e-06	-0.06296054	135.72244	-8.388596	16350.536	-559.3408	0	0	1.5642929	0.0	1.8637602	0.009206239	120000.0	1172.2992055416107
6	-279.98645	113.97458	-60.681034	-437.49338	1129.5	1951.5569	5650.0	0.0	1000.0	156060.0	1.1147142857142858	-32.059055	0.7897017	4.8488445	-32.217583	78.51043	4.9280186	79.00242	-72.98376	-6.1035155e-09	-0.01350596	7.8125e-07	0.03206582	136.0018	-14.101639	54217.844	-1086.9648	0	0	1.4528955	0.0	1.851898	0.008990924	140000.0	1366.9460127353668
7	-257.08722	99.74218	-61.476902	-445.04395	749.0	1586.9684	5650.0	0.0	1000.0	171040.0	1.069	-28.268225	0.6799629	1.4975741	-28.446325	75.98854	20.554419	87.594604	-85.75126	-4.119873e-08	-0.012174538	-1.953125e-06	-0.18514766	103.77066	-5.425911	34069.777	-1367.4922	0	0	1.6311222	0.0	1.8533031	0.009215082	160000.0	1560.3082230091095
8	-276.5285	116.61589	-69.39726	-465.72006	353.0	1155.2666	4990.0	0.0	1000.0	178100.0	0.9894444444444445	-25.99037	0.6770109	8.368267	-26.17947	62.06484	24.056387	93.09417	-70.06107	-6.103516e-08	-0.011836596	4.882813e-07	-0.08164287	125.862564	-2.4942856	16013.261	-1961.4844	0	0	1.715882	0.0	1.8292488	0.00936889	180000.0	1754.0753409862518
9	-274.75122	102.04422	-128.80748	-524.8445	1367.0	1998.6848	5470.0	0.0	1000.0	205440.0	1.0272	-27.418219	0.52168405	-8.968786	-27.53074	31.609644	13.110904	55.546867	-44.11587	4.8828124e-08	-0.012593664	3.515625e-06	0.2939539	99.54095	-0.61740875	71821.56	-6642.164	0	0	1.5732594	0.0	1.8721073	0.008891403	200000.0	1947.8094778060913
10	-236.97717	106.87148	-46.95052	-423.09595	495.0	1493.5612	6530.0	0.0	1000.0	215340.0	0.9788181818181818	-27.491388	1.029335	3.2042024	-27.732178	78.41475	1.3574451	85.0818	4.7823453	0.0	-0.013156912	-7.8125e-07	-0.019016799	119.648674	-12.661301	29933.72	-271.55664	0	0	1.5408549	0.0	1.865087	0.009020664	220000.0	2142.182018518448
