Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-289.69632	108.755875	-81.70378	-497.63068	1646.5	2023.3716	5530.0	0.0	1000.0	32930.0	1.6465	0.69929886	0.4511447	2.0111656	-1.3606917	-0.4061814	0.2404047	0.82843405	-1.347798	4.8828124e-08	-0.013039846	-1.5625e-06	-0.3205135	869.0895	-721.0233	82109.555	-10503.484	0	0	1.5398806	0.0	1.837877	0.008893947	20000.0	196.6140797138214
1	-330.83356	70.23412	-188.9973	-519.56396	780.5	1150.2107	3770.0	0.0	1000.0	48540.0	1.2135	-26.11847	1.6949888	11.927635	-26.648073	39.61068	1.4475368	39.79487	-20.821611	-1.2207031e-08	-0.013175568	-9.765625e-07	-0.011665429	98.48346	-40.94895	26348.852	-579.30664	0	0	1.4679936	0.0	1.8570085	0.008842411	40000.0	391.0899021625519
2	-310.57437	125.80465	-69.389015	-629.7543	1313.5	2195.5303	6250.0	0.0	1000.0	74810.0	1.2468333333333332	-32.364204	0.97669107	4.870312	-32.604855	48.428608	0.81789833	48.520695	-2.6272416	-1.2207031e-08	-0.013475812	1.5625e-06	0.16472226	149.6508	-2.6233978	68124.28	-2106.3906	0	0	1.4550068	0.0	1.8716912	0.008838727	60000.0	585.1257476806641
3	-307.06497	116.913376	-64.19985	-489.53455	1148.5	1774.3315	6600.0	0.0	1000.0	97780.0	1.22225	-31.15997	1.3321393	11.68422	-31.534967	64.52499	1.4736465	64.63101	-25.223925	-3.0517577e-09	-0.012205484	1.171875e-06	-0.21600313	128.6402	-3.3272247	50242.62	-871.29297	0	0	1.6427164	0.0	1.8724322	0.008301018	80000.0	779.8875229358673
4	-320.4124	98.774216	-179.3909	-533.1403	1098.0	1276.4545	3530.0	0.0	1000.0	119740.0	1.1974	-30.430984	2.1296132	21.820787	-31.4852	75.99771	2.1179233	76.12984	-61.865032	-1.8310548e-08	-0.013389404	-9.765625e-07	-0.23827343	99.45477	-6.2959137	32478.28	-499.9043	0	0	1.472546	0.0	1.8738077	0.008948952	100000.0	974.0795891284943
5	-347.1751	122.14107	-126.08013	-539.4379	477.5	1165.8726	5020.0	0.0	1000.0	129290.0	1.0774166666666667	-31.819885	0.77353257	-0.6690842	-32.05035	84.97605	2.3577049	85.120544	-56.12734	-4.6539306e-08	-0.012056222	0.0	-0.059696093	151.37906	-7.845642	22956.025	-472.33008	0	0	1.6145264	0.0	1.8743262	0.008713884	120000.0	1167.5508143901825
6	-296.60873	120.593025	-65.906265	-467.8366	943.0	1651.3481	5150.0	0.0	1000.0	148150.0	1.0582142857142858	-34.496742	0.93584657	14.964701	-34.668716	75.86578	9.049866	77.27377	-75.333206	-3.0517577e-09	-0.012836664	-1.7578125e-06	-0.10459375	154.74496	-20.95691	43931.96	-466.21484	0	0	1.5799128	0.0	1.8640082	0.0087578315	140000.0	1360.8791234493256
7	-266.0093	102.68585	-59.059166	-510.7127	1172.5	1559.7239	4400.0	0.0	1000.0	171600.0	1.0725	-29.917063	0.87592053	-2.5134332	-30.313255	75.82425	11.15311	82.00951	-75.65662	2.1362304e-08	-0.012091789	-9.765625e-07	-0.06001621	112.82043	-12.374107	40627.28	-1454.5195	0	0	1.6624664	0.0	1.8789604	0.008604715	160000.0	1554.661322593689
8	-294.22742	108.27031	-71.53561	-470.42462	432.5	1164.9415	4520.0	0.0	1000.0	180250.0	1.0013888888888889	-26.976093	1.3176391	0.6162627	-28.285725	93.701	3.159028	93.985985	-46.115704	1.8310548e-08	-0.013331485	-9.765625e-08	-0.13557431	117.24855	-11.5173645	18822.014	-2099.412	0	0	1.4680042	0.0	1.8457165	0.008899266	180000.0	1748.4115900993347
9	-292.3505	111.30818	-136.05165	-561.76025	920.0	1320.5377	4020.0	0.0	1000.0	198650.0	0.99325	-28.87414	1.3994286	11.725689	-29.820383	51.40527	12.58984	62.366642	-61.041134	-7.324219e-08	-0.01341875	0.0	0.0873289	118.34093	-8.192528	31666.03	-1214.9355	0	0	1.4865736	0.0	1.8856105	0.009153216	200000.0	1942.4773261547089
