Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-269.98965	108.409775	-79.41213	-493.04114	1646.5	2023.3716	5530.0	0.0	1000.0	32930.0	1.6465	0.69929886	0.4511447	2.0111656	-1.3606917	-0.4061814	0.2404047	0.82843405	-1.347798	1.5258789e-09	-0.012932775	-1.5625e-06	-0.30322033	770.3502	-628.4733	82109.555	-10503.484	0	0	1.5490234	0.0	1.837877	0.009106705	20000.0	201.51735043525696
1	-307.97192	67.656525	-172.30931	-489.76392	1127.5	1700.4966	5280.0	0.0	1000.0	55480.0	1.387	-24.20707	1.5147328	13.770597	-24.745287	39.64615	1.1678357	39.794884	-16.322613	9.155274e-09	-0.011799951	4.6875e-06	-0.22856973	90.41023	-36.553345	55666.355	-1808.0898	0	0	1.6540233	0.0	1.854655	0.008969494	40000.0	400.27432346343994
2	-294.0368	119.09146	-58.262394	-606.4291	973.5	1627.7693	5300.0	0.0	1000.0	74950.0	1.2491666666666668	-30.013515	1.1430222	14.844686	-30.317636	53.801445	1.5195035	53.939156	-18.41179	0.0	-0.013117932	-1.171875e-06	-0.0049125	133.81506	-1.236969	38255.125	-549.39453	0	0	1.518848	0.0	1.8756958	0.008658488	60000.0	599.1973602771759
3	-285.6234	111.01663	-53.149506	-466.04037	1370.0	1937.8569	6360.0	0.0	1000.0	102350.0	1.279375	-29.458725	1.333821	21.580091	-29.805656	62.38671	2.099278	62.542286	-50.725975	3.6621095e-08	-0.012493569	-2.5390625e-06	-0.14488985	116.90835	-1.7936325	63724.562	-1920.75	0	0	1.563692	0.0	1.8796792	0.008866091	80000.0	798.3676688671112
4	-299.15976	101.3878	-137.55739	-536.3618	874.5	1233.4119	4170.0	0.0	1000.0	119840.0	1.1984	-28.674582	0.7781418	-0.73289514	-28.944595	78.427765	2.0921104	78.562904	-28.425869	1.525879e-08	-0.012149326	3.90625e-07	-0.16167694	99.53634	-2.16922	26325.508	-19.546875	0	0	1.5832816	0.0	1.8747563	0.008814261	100000.0	995.9589834213257
5	-328.5661	121.05721	-121.202	-529.2147	418.0	778.9005	2960.0	0.0	1000.0	128200.0	1.0683333333333334	-29.66469	0.6333125	-0.6461942	-29.976288	80.67561	1.1219201	80.74583	-9.915288	9.155274e-09	-0.013034885	-3.90625e-07	-0.030331055	147.10704	-8.91217	13221.719	-533.0244	0	0	1.5476742	0.0	1.8693674	0.008894674	120000.0	1194.5791902542114
6	-276.73492	111.95049	-55.75315	-442.79507	777.0	1367.7576	4270.0	0.0	1000.0	143740.0	1.0267142857142857	-32.61369	0.78048706	0.33219934	-32.797817	71.35303	3.869066	71.70833	-64.06256	-1.525879e-08	-0.012861796	1.7578125e-06	-0.1210043	138.77533	-22.260818	25355.75	-78.61133	0	0	1.5570388	0.0	1.8495135	0.008976337	140000.0	1392.7353084087372
7	-250.39844	89.54166	-62.284336	-460.36237	1027.5	2003.3344	6460.0	0.0	1000.0	164290.0	1.0268125	-27.923203	1.1190156	-8.280989	-28.597027	71.31075	7.163507	72.74136	-67.00154	-1.0681152e-08	-0.012782262	0.0	-0.4643793	86.06391	-8.358414	54584.18	-585.2422	0	0	1.529511	0.0	1.8496861	0.008792407	160000.0	1591.5200123786926
8	-279.89935	120.384796	-53.867706	-498.97403	421.5	1135.708	3870.0	0.0	1000.0	172720.0	0.9595555555555556	-25.309536	0.6617569	5.6806936	-25.980389	82.08236	1.6765134	82.19347	-7.0551457	6.713867e-08	-0.013057989	1.953125e-07	-0.10853535	135.86392	-9.710075	17503.7	-829.53125	0	0	1.5318307	0.0	1.8338652	0.008931827	180000.0	1790.2975420951843
9	-281.1688	99.26026	-143.48491	-520.67285	1301.0	1782.1051	4870.0	0.0	1000.0	198740.0	0.9937	-27.643353	1.247798	12.085691	-29.308369	68.2382	10.979779	71.3457	-66.73991	3.6621095e-08	-0.013251281	1.953125e-07	-0.07195938	95.92642	-6.039032	54602.33	-2348.9883	0	0	1.4880012	0.0	1.8744295	0.008703682	200000.0	1989.5039660930634
