Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-285.325	124.58867	-76.39791	-601.64655	725.0	1542.5935	5800.0	0.0	1000.0	14500.0	0.725	0.66307425	0.44510394	1.7034363	-1.2691631	-0.4079162	0.23167625	0.8220873	-1.2796389	-0.03847289	-0.037891753	0.15334749	-1.6878779	876.0271	-692.9219	33906.523	-3679.1582	0	0	0.26284423	0.0	1.837877	0.008773868	20000.0	115.15648794174194
1	-220.59424	116.915436	-57.782097	-482.46143	407.0	1024.8955	3890.0	0.0	1000.0	22640.0	0.566	-25.825949	0.8108852	2.9839005	-26.09267	38.21531	1.4659755	38.445053	-5.371217	0.014387861	-0.2028257	2.3670154	-7.090967	139.72864	-13.3363	16033.61	-27.37201	0	0	0.24524759	0.0	1.8358896	0.008456221	40000.0	219.91626167297363
2	-194.08548	73.6286	-59.44596	-382.8353	1201.0	2074.96	8350.0	0.0	1000.0	46660.0	0.7776666666666666	-22.33306	0.71549785	6.049274	-22.574665	41.735962	0.7986549	41.848083	5.9311094	0.012917563	-0.02405136	-0.84813476	-0.23268628	66.07576	-7.2616806	62521.0	-3710.2344	0	0	0.8796192	0.0	1.8620872	0.008968669	60000.0	324.7378318309784
3	-216.96391	90.4121	-84.20966	-418.12256	569.5	1342.8978	4730.0	0.0	1000.0	58050.0	0.725625	-19.743103	0.7694787	1.2260839	-20.021233	72.17683	1.2833369	72.26068	-38.46616	0.061521187	-0.04755642	-0.35931587	0.29662275	84.07066	-7.866144	23645.416	-100.77295	0	0	0.32224455	0.0	1.8893924	0.008682545	80000.0	434.60335326194763
4	-182.28275	76.69929	-40.46476	-325.5994	756.0	1408.7633	4690.0	0.0	1000.0	73170.0	0.7317	-21.430012	1.631052	6.332297	-22.58543	68.35245	1.836869	68.494705	-38.68602	0.0021270886	-0.02658761	0.041739464	-0.20349121	74.31746	-15.137768	30779.965	-240.60034	0	0	0.85546434	0.0	1.8879417	0.008947163	100000.0	541.9546809196472
5	-190.30966	65.68971	-62.21988	-308.4804	279.5	961.51166	4410.0	0.0	1000.0	78760.0	0.6563333333333333	-18.336105	1.0426928	7.819207	-18.923431	62.232376	14.384084	71.79675	-64.56187	0.54373926	-0.42181274	-3.1708975	2.8227065	48.21029	-2.7148228	12825.334	-1284.5831	0	0	0.033687353	0.0	1.8998687	0.008699061	120000.0	645.811753988266
6	-253.85176	121.84452	-101.24837	-503.98172	1122.0	2075.9976	6410.0	0.0	1000.0	101200.0	0.7228571428571429	-18.790958	0.96611625	11.944579	-20.140919	31.971056	10.074216	55.103275	-26.908216	-0.042440593	-0.2562573	-0.9078324	-8.450389	174.87088	-41.034863	61987.508	-5042.949	0	0	0.19099964	0.0	1.911546	0.009185008	140000.0	748.5014038085938
7	-217.29187	110.29786	-70.468155	-480.42215	1007.0	2011.927	7910.0	0.0	1000.0	121340.0	0.758375	-24.583693	1.7105366	10.709218	-26.608232	80.997795	20.025585	87.99254	-76.58285	0.06597726	-0.04948141	-0.7029928	0.8712411	118.38922	-18.986425	47999.15	-4095.628	0	0	0.079458475	0.0	1.9495127	0.008426283	160000.0	852.5424807071686
8	-178.14249	103.27892	-40.124104	-412.28415	939.0	1938.6357	7180.0	0.0	1000.0	140120.0	0.7784444444444445	-20.40141	3.3432565	1.8852409	-28.086287	51.914066	28.629276	100.68845	-76.9409	-0.02381384	-0.04206112	-0.797495	-1.0079584	115.40685	-31.727505	48973.17	-2267.6875	0	0	0.5950509	0.0	1.9388804	0.009154905	180000.0	957.2024900913239
9	-234.68433	98.370674	-81.88273	-467.62497	858.0	1743.6932	6820.0	0.0	1000.0	157280.0	0.7864	-17.35421	4.0481873	3.203717	-27.708729	93.5716	15.198701	104.86301	6.1075244	4.6471677	-4.3174553	-51.655087	47.340393	134.29411	-56.876408	37900.66	-794.6289	0	0	0.0018392869	0.0	1.9391024	0.007602361	200000.0	1061.2788171768188
10	-215.81668	111.38689	-50.009846	-425.12982	445.5	1272.2283	5580.0	0.0	1000.0	166190.0	0.7554090909090909	-22.293734	3.2352252	-9.427968	-30.709898	76.75701	19.812143	110.20695	-6.3158336	0.05207803	-0.12788022	-3.4315505	1.583513	114.47029	-14.256069	19582.58	-1215.9552	0	0	0.083719246	0.0	1.9136782	0.00909698	220000.0	1164.309399843216
11	-196.0166	99.06293	-30.002033	-386.07492	875.5	1510.6935	4860.0	0.0	1000.0	183700.0	0.7654166666666666	-22.420404	4.2678404	2.120489	-31.119795	52.044033	14.584728	103.67411	-3.7017555	-0.021649495	-0.061053302	2.867694	-0.25662696	85.49103	-22.70659	31728.482	-2601.9248	0	0	0.4569641	0.0	1.9136274	0.008469403	240000.0	1268.425453901291
12	-191.03458	100.56938	-36.411373	-399.19687	702.0	1679.6952	5790.0	0.0	1000.0	197740.0	0.7605384615384615	-19.38479	4.5968356	7.945179	-31.645662	76.80355	27.07987	110.13598	13.871076	-0.00032327138	-0.02156535	0.21068287	0.0596323	81.66887	-14.4678955	36570.383	-1190.1858	0	0	0.96051174	0.0	1.9172813	0.009145806	260000.0	1373.3089382648468
