Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.15224668	1.2313813	3.1025677	-2.5343103	24.45	47.182068	158.0	0.0	1000.0	489.0	0.02445	0.6329085	0.44895658	1.6864201	-1.2328123	-0.40670514	0.2252108	0.7345213	-1.2224053	-0.03133954	-0.044940084	0.014644384	-0.04230531	0.753317	-0.62410694	32.57438	-13.908542	0.99999994	-0.031314015	0.39762554	0.0	1.837877	0.009203584	20000.0	109.4596836566925
1	-0.6756635	1.0008632	1.2967231	-2.507106	9.8	24.508366	106.0	0.0	1000.0	685.0	0.017125	0.06361338	0.25957558	1.5924658	-0.48290533	2.690106	2.6235602	13.823144	-3.0763192	0.1898311	-0.15552807	1.2872281	-1.0443147	0.1101788	-0.026259057	13.542205	-5.687573	0.9686859	-0.023645818	0.12867774	0.0	1.8321354	0.008847833	40000.0	212.58961129188538
2	-0.17080474	1.3205717	2.010419	-2.4346774	27.1	45.487247	169.0	0.0	1000.0	1227.0	0.02045	-0.03567822	0.25873807	1.1626964	-0.6028033	0.9645082	0.66911376	4.5274024	-1.5582671	-0.007954171	-0.020301327	-0.011055628	-0.023732446	0.09340418	-0.013078574	27.671757	-5.703803	0.9450401	-0.015226126	1.0727603	0.0	1.8593128	0.008640889	60000.0	315.1123206615448
3	0.2894331	1.6743854	6.1277046	-1.9549872	13.7	29.63461	124.0	0.0	1000.0	1501.0	0.0187625	-0.030219367	0.3061761	1.0935463	-0.5064517	3.0672472	2.4373925	14.868203	-2.0773752	0.013181994	-0.02119196	0.022475153	-0.03340812	0.109183095	-0.017000962	16.596443	-6.238943	0.929814	-0.020288944	0.9309769	0.0	1.8482614	0.0090074465	80000.0	416.1742799282074
4	-0.24108239	1.0448354	2.1173475	-1.8102529	23.1	42.259792	125.0	0.0	1000.0	1963.0	0.01963	0.019335963	0.26216546	1.0444969	-0.49067432	1.1718931	0.8126031	5.811011	-3.1457436	0.00963819	-0.019400865	0.014467925	-0.033121645	0.09462915	-0.01633216	24.412107	-5.2188444	0.90952504	-0.0184502	0.59985185	0.0	1.8743107	0.008621982	100000.0	517.4285628795624
5	0.14384648	1.0342575	2.4132802	-2.1197124	8.1	15.855285	61.0	0.0	1000.0	2125.0	0.017708333333333333	-0.0011545232	0.29514492	1.1344666	-0.529973	2.4293075	2.1208498	12.823522	-2.5192037	0.010075336	-0.07510144	0.042040676	-0.07055626	0.086591326	-0.012684908	11.434275	-7.082069	0.89107484	-0.02186662	0.38007858	0.0	1.8810687	0.009217918	120000.0	620.2529754638672
6	0.97276956	1.2789925	3.977715	-0.9317662	31.45	54.83473	165.0	0.0	1000.0	2754.0	0.019671428571428572	0.045618147	0.295185	1.3827885	-0.5115763	0.98463476	0.5214894	7.9338746	-1.2994243	0.043824233	-0.27134085	0.15380964	-0.36778134	0.110964745	-0.019347519	35.85445	-4.8346024	0.8692082	-0.01468724	0.11715599	0.0	1.8979974	0.009004158	140000.0	726.7505688667297
7	0.55330724	1.1062586	3.1777265	-1.121033	20.8	41.35408	141.0	0.0	1000.0	3170.0	0.0198125	0.07691934	0.29796916	1.0629283	-0.40559113	2.897323	0.5723542	8.134719	-1.9420462	0.0028297296	-0.021480069	-0.003972563	-0.024375748	0.1067255	-0.02076485	18.672077	-2.8009672	0.854521	-0.014879763	1.1136228	0.0	1.9208304	0.009069582	160000.0	837.9075498580933
8	-0.34037668	2.098204	3.6414638	-4.304189	19.3	37.20363	122.0	0.0	1000.0	3556.0	0.019755555555555554	0.061966505	0.27816588	0.880378	-0.5618105	1.9547477	1.2826748	6.4025526	-1.9283417	-0.054800168	-0.07505332	-0.03397891	-0.03773165	0.13144642	-0.029243227	18.653526	-3.4373107	0.8396412	-0.015656829	0.109451756	0.0	1.9115812	0.00833676	180000.0	953.2551515102386
9	0.8527754	1.5769426	4.341718	-1.4505821	26.9	54.004536	221.0	0.0	1000.0	4094.0	0.02047	-0.010560048	0.32507735	1.0251335	-1.1143075	2.1629367	1.2364794	9.643772	-1.4090881	-5.1593475	-35.87671	-0.15464626	-1.1438998	0.13005704	-0.028358854	34.121933	-8.085386	0.8239844	-0.012843013	0.0013098574	0.0	1.9112544	0.009118756	200000.0	1055.9856054782867
